# time, R, alfa_r, veloc, accel
87.80,6405712.71157624,0.00614370,736.83464023,-9.81205597
87.90,6405742.01331648,0.00615425,736.42451421,-9.81116869
88.00,6405771.21768644,0.00616480,736.01558895,-9.81028888
88.10,6405800.32469461,0.00617535,735.60786503,-9.80941649
88.20,6405829.33434939,0.00618590,735.20134300,-9.80855142
88.30,6405858.24665911,0.00619645,734.79602345,-9.80769361
88.40,6405887.06163204,0.00620699,734.39190696,-9.80684297
88.50,6405915.77927638,0.00621754,733.98899415,-9.80599944
88.60,6405944.39960026,0.00622809,733.58728561,-9.80516294
88.70,6405972.92261175,0.00623864,733.18678196,-9.80433339
88.80,6406001.34831884,0.00624918,732.78748382,-9.80351073
88.90,6406029.67672946,0.00625973,732.38939184,-9.80269489
89.00,6406057.90785148,0.00627028,731.99250665,-9.80188578
89.10,6406086.04169270,0.00628082,731.59682890,-9.80108336
89.20,6406114.07826087,0.00629137,731.20235926,-9.80028754
89.30,6406142.01756365,0.00630191,730.80909839,-9.79949826
89.40,6406169.85960867,0.00631246,730.41704697,-9.79871545
89.50,6406197.60440347,0.00632300,730.02620568,-9.79793904
89.60,6406225.25195555,0.00633354,729.63657520,-9.79716898
89.70,6406252.80227234,0.00634409,729.24815625,-9.79640519
89.80,6406280.25536120,0.00635463,728.86094952,-9.79564762
89.90,6406307.61122946,0.00636517,728.47495574,-9.79489619
90.00,6406334.86988436,0.00637571,728.09017561,-9.79415086
90.10,6406362.03133310,0.00638625,727.70660986,-9.79341155
90.20,6406389.09558281,0.00639680,727.32425924,-9.79267820
90.30,6406416.06264058,0.00640734,726.94312448,-9.79195076
90.40,6406442.93251343,0.00641788,726.56320633,-9.79122916
90.50,6406469.70520832,0.00642842,726.18450555,-9.79051335
90.60,6406496.38073218,0.00643896,725.80702289,-9.78980327
90.70,6406522.95909186,0.00644950,725.43075912,-9.78909886
90.80,6406549.44029417,0.00646003,725.05571502,-9.78840006
90.90,6406575.82434585,0.00647057,724.68189137,-9.78770682
91.00,6406602.11125360,0.00648111,724.30928894,-9.78701909
91.10,6406628.30102407,0.00649165,723.93790854,-9.78633680
91.20,6406654.39366385,0.00650219,723.56775095,-9.78565991
91.30,6406680.38917948,0.00651272,723.19881699,-9.78498836
91.40,6406706.28757746,0.00652326,722.83110745,-9.78432209
91.50,6406732.08886421,0.00653379,722.46462316,-9.78366106
91.60,6406757.79304614,0.00654433,722.09936493,-9.78300522
